Position,Original_Intensity,Filtered_Intensity
328685,5374,5189
329640,5187,5191
330595,5071,5200
331550,5187,5209
332505,5074,5210
333460,5073,5211
334415,5130,5214
335370,5188,5218
336325,5247,5221
337280,5305,5224
338235,5322,5230
339190,5270,5236
340145,5177,5236
341100,5099,5237
342055,5306,5237
343010,5141,5238
343965,5115,5242
344920,5081,5247
345875,5046,5250
346830,5012,5254
347785,5147,5260
348740,5176,5267
349695,5173,5268
350650,5075,5270
351605,4977,5270
352560,4963,5270
353515,5133,5271
354470,5081,5272
355425,5010,5274
356380,5006,5276
357335,4964,5274
358290,4969,5272
359245,5175,5271
360200,5140,5270
361155,5106,5270
362110,5072,5270
363065,5059,5268
364020,5056,5267
364975,5053,5260
365930,5052,5254
366885,5080,5250
367840,5107,5247
368795,5135,5243
369750,5163,5240
370705,5191,5239
371660,5218,5238
372615,5281,5237
373570,5267,5237
374525,5238,5237
375480,5209,5238
376435,5174,5239
377390,5062,5240
378345,5025,5243
379300,4989,5247
380255,5103,5250
381210,5143,5254
382165,5134,5260
383120,5126,5267
384075,5117,5268
385030,5115,5270
385985,5112,5270
386940,5109,5270
387895,5106,5271
388850,5104,5272
389805,5101,5274
390760,5098,5276
391715,5095,5278
392670,5071,5281
393625,5012,5293
394580,5126,5305
395535,5211,5305
396490,5224,5306
397445,5236,5313
398400,5237,5306
399355,5254,5305
400310,5272,5305
401265,5276,5300
402220,5270,5296
403175,5485,5288
404130,5497,5281
405085,5849,5278
406040,5703,5281
406995,5816,5278
407950,6129,5276
408905,6452,5274
409860,6777,5272
410815,7103,5274
411770,7554,5276
412725,8033,5278
413680,8512,5276
414635,10022,5274
415590,11694,5272
416545,13289,5271
417500,14281,5270
418455,20359,5271
419410,22951,5272
420365,26541,5274
421320,29618,5272
422275,32694,5271
423230,35770,5270
424185,39304,5270
425140,42845,5270
426095,45246,5268
427050,47533,5267
428005,47917,5262
428960,47087,5258
429915,45255,5257
430870,41796,5256
431825,36454,5255
432780,31112,5254
433735,26192,5250
434690,21686,5254
435645,18716,5255
436600,15747,5254
437555,12777,5250
438510,10911,5247
439465,9078,5246
440420,7961,5246
441375,7284,5246
442330,6746,5246
443285,6289,5246
444240,6040,5246
445195,5784,5246
446150,5513,5246
447105,5523,5245
448060,5534,5245
449015,5544,5244
449970,5464,5240
450925,5364,5240
451880,5426,5240
452835,5442,5240
453790,5453,5244
454745,5575,5245
455700,5606,5246
456655,5626,5254
457610,5605,5256
458565,5475,5256
459520,5461,5258
460475,5401,5258
461430,5340,5258
462385,5323,5258
463340,5446,5258
464295,5519,5258
465250,5431,5258
466205,5362,5258
467160,5173,5258
468115,5081,5258
469070,5240,5258
470025,5237,5258
470980,5200,5258
471935,5174,5258
472890,5165,5258
473845,5157,5258
474800,5148,5258
475755,5139,5258
476710,5131,5258
477665,5122,5258
478620,5113,5258
479575,5105,5258
480530,5096,5258
481485,5087,5258
482440,5079,5258
483395,5070,5256
484350,5320,5256
485305,5426,5256
486260,5510,5256
487215,5736,5256
488170,6154,5256
489125,6187,5256
490080,6668,5256
491035,6973,5256
491990,7277,5258
492945,7582,5258
493900,7672,5258
494855,7569,5258
495810,7517,5258
496765,7540,5263
497720,7264,5263
498675,7011,5263
499630,6852,5263
500585,6629,5263
501540,6367,5263
502495,6118,5263
503450,5869,5263
504405,5597,5263
505360,5435,5266
506315,5437,5270
507270,5369,5271
508225,5296,5272
509180,5246,5272
510135,5208,5272
511090,5170,5274
512045,5132,5272
513000,5096,5275
513955,5117,5272
514910,5169,5267
515865,5306,5263
516820,5153,5260
517775,5188,5258
518730,5223,5258
519685,5258,5258
520640,5298,5257
521595,5339,5256
522550,5302,5256
523505,5222,5256
524460,5143,5256
525415,5179,5256
526370,5219,5254
527325,5256,5252
528280,5279,5251
529235,5303,5250
530190,5300,5248
531145,5132,5247
532100,5071,5246
533055,5033,5246
534010,4994,5246
534965,4956,5246
535920,4918,5245
536875,4919,5245
537830,4925,5244
538785,5028,5244
539740,5154,5242
540695,5128,5240
541650,5213,5239
542605,5184,5238
543560,5186,5237
544515,5256,5237
545470,5287,5236
546425,5186,5235
547380,5165,5234
548335,5245,5234
549290,5244,5234
550245,5183,5234
551200,5186,5232
552155,5172,5230
553110,5159,5230
554065,5166,5230
555020,5186,5230
555975,5206,5230
556930,5234,5229
557885,5263,5229
558840,5234,5226
559795,5146,5223
560750,5117,5222
561705,5199,5222
562660,5281,5222
563615,5323,5222
564570,5331,5221
565525,5328,5221
566480,5324,5220
567435,5321,5220
568390,5319,5219
569345,5272,5219
570300,5230,5217
571255,5230,5216
572210,5230,5214
573165,5220,5213
574120,5201,5211
575075,5182,5209
576030,5119,5209
576985,5029,5209
577940,4940,5209
578895,4962,5209
579850,5046,5209
580805,5143,5209
581760,5203,5209
582715,5154,5209
583670,5134,5211
584625,5092,5213
585580,5008,5214
586535,5216,5216
587490,5182,5217
588445,4968,5219
589400,5011,5219
590355,5064,5220
591310,5116,5220
592265,5169,5221
593220,5221,5221
594175,5258,5222
595130,5252,5221
596085,5246,5221
597040,5209,5220
597995,5115,5220
598950,5090,5219
599905,5163,5219
600860,5247,5217
601815,5280,5216
602770,5235,5214
603725,5193,5213
604680,5238,5211
605635,5301,5209
606590,5338,5209
607545,5256,5209
608500,5155,5208
609455,5149,5208
610410,5169,5207
611365,5222,5206
612320,5250,5204
613275,5209,5203
614230,5229,5202
